mth,sales
1/31/2004,12474560
2/29/2004,12808700
3/31/2004,16150100
4/30/2004,19045980
5/31/2004,21830480
6/30/2004,22721520
7/31/2004,26953960
8/31/2004,31631920
9/30/2004,31576230
10/31/2004,30295360
11/30/2004,32077440
12/31/2004,37156368
1/31/2005,13142840
2/28/2005,14033880
3/31/2005,16707000
4/30/2005,20048400
5/31/2005,21830480
6/30/2005,20939440
7/31/2005,25951540
8/31/2005,30852260
9/30/2005,30172842
10/31/2005,28335072
11/30/2005,30473568
12/31/2005,34839664
1/31/2006,14702160
2/28/2006,15704580
3/31/2006,19825640
4/30/2006,21496340
5/31/2006,26285680
6/30/2006,26174300
7/31/2006,29738460
8/31/2006,35307460
9/30/2006,35686152
10/31/2006,32255648
11/30/2006,36176224
12/31/2006,37334576
1/31/2007,14368020
2/28/2007,15036300
3/31/2007,18154940
4/30/2007,20159780
5/31/2007,26174300
6/30/2007,25283260
7/31/2007,29961220
8/31/2007,34861940
9/30/2007,34884216
10/31/2007,31008192
11/30/2007,35285184
12/31/2007,41076944
1/31/2008,13476980
2/29/2008,13922500
3/31/2008,19157360
4/30/2008,20382540
5/31/2008,25506020
6/30/2008,26062920
7/31/2008,30072600
8/31/2008,35418840
9/30/2008,35585910
10/31/2008,32344752
11/30/2008,37423680
12/31/2008,42057088
1/31/2009,15036300
2/28/2009,16595620
3/31/2009,19825640
4/30/2009,24280840
5/31/2009,27065340
6/30/2009,29404320
7/31/2009,35084700
8/31/2009,41656120
9/30/2009,42302124
10/31/2009,38760240
11/30/2009,42057088
12/31/2009,47670640
1/31/2010,16484240
2/28/2010,18934600
3/31/2010,22164620
4/30/2010,25617400
5/31/2010,29404320
6/30/2010,33636760
7/31/2010,40542320
8/31/2010,45999940
9/30/2010,46612530
10/31/2010,43750064
11/30/2010,48828992
12/31/2010,55422688
1/31/2011,16484240
2/28/2011,18934600
3/31/2011,22164620
4/30/2011,26953960
5/31/2011,30295360
6/30/2011,32634340
7/31/2011,38648860
8/31/2011,45108900
9/30/2011,46813014
10/31/2011,44997520
11/30/2011,49809136
12/31/2011,53997024
1/31/2012,15147680
2/29/2012,17598040
3/31/2012,20493920
4/30/2012,23278420
5/31/2012,26397060
6/30/2012,28847420
7/31/2012,34750560
8/31/2012,39539900
9/30/2012,40497768
10/31/2012,35998016
11/30/2012,41255152
12/31/2012,45264832
1/31/2013,13254220
2/28/2013,14813540
3/31/2013,18043560
4/30/2013,21273580
5/31/2013,23501180
6/30/2013,25506020
7/31/2013,30518120
8/31/2013,34082280
9/30/2013,34783974
10/31/2013,31988336
11/30/2013,36265328
12/31/2013,41076944
1/31/2014,11583520
2/28/2014,12697320
3/31/2014,16261480
4/30/2014,19157360
5/31/2014,20048400
6/30/2014,22610140
7/31/2014,26397060
8/31/2014,30183980
9/30/2014,30573810
10/31/2014,27622240
11/30/2014,32255648
12/31/2014,34750560
1/31/2015,10772673.6
2/28/2015,12189427.2
3/31/2015,14960561.6
4/30/2015,18391065.6
5/31/2015,18244044
6/30/2015,21931835.8
7/31/2015,25605148.2
8/31/2015,29278460.6
9/30/2015,30913519
10/31/2015,33491966
11/30/2015,37497190.8
12/31/2015,39963144
